"s","p","o"
"http://example.org/stix-uco/threat-actor--9a8a0d25-7636-429b-a99e-b2a73cd0f11f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/threat-actor--dfaa8d77-07e2-4e28-b2c8-92e9f7b04428","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/identity/Organization"
"http://example.org/stix-uco/indicator--1ed8caa7-a708-4706-b651-f1186ede6ca1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/pattern/Pattern"
"http://example.org/stix-uco/indicator--33fe3b22-0201-47cf-85d0-97c02164528d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/pattern/Pattern"
"http://example.org/stix-uco/indicator--9299f726-ce06-492e-8472-2b52ccb53191","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/pattern/Pattern"
"http://example.org/stix-uco/indicator--a932fcc6-e032-476c-826f-cb970a5a1ade","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/pattern/Pattern"
"http://example.org/stix-uco/indicator--d81f86b9-975b-4c0b-875e-810c5ad45a4f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/pattern/Pattern"
"http://example.org/stix-uco/malware--162d917e-766f-4611-b5d6-652791454fca","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/tool/MaliciousTool"
"http://example.org/stix-uco/malware--ae560258-a5cb-4be8-8f05-013d6712295f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/tool/MaliciousTool"
"http://example.org/stix-uco/malware--d1c612bc-146f-4b65-b7b0-9a54a14150a4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/tool/MaliciousTool"
"http://example.org/stix-uco/malware--fdd60b30-b67c-41e3-b0b9-f01faf20d111","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/tool/MaliciousTool"
"http://example.org/stix-uco/relationship--06964095-5750-41fe-a9af-6c6a9d995489","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--1f4ee02a-7f6e-45a6-aedd-c1492af5e179","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--29dcdf68-1b0c-4e16-94ed-bcc7a9572f69","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--33c22977-d104-45d8-be19-273f7ab03de1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--3cd2d6f9-0ded-486b-8dca-606283a8997f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--3d1dd3cc-eb47-4704-9c77-ceff2971b95c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--4292a6df-fb16-43d1-805d-dc1b33946fdf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--4bd67b9e-d112-4ea6-98bb-080a051667c7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--4fe5dab1-fd6d-41aa-b8b1-d3118a708284","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--5047c2c0-524b-4afd-9cd6-e197efe59495","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--53a55c73-f2c8-47b9-8e50-ae34d8c5da4d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--554e3341-d7b1-4b3c-a522-28ef52fbb49b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--56e5f1c8-08f3-4e24-9e8e-f87d844672ec","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--70880ead-0b19-4785-be52-a69064d4cb6c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--864af2ea-46f9-4d23-b3a2-1c2adf81c265","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--8848cba9-4c7b-4695-bc09-5033a6f20ff4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--96cfbc6f-5c08-4372-b811-b90fbb2ec180","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--98765000-efdf-4a86-8681-36481ceae57f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--9cc131ca-b64d-4ab1-a300-5e4a0073280a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--a2e3efb5-351d-4d46-97a0-6897ee7c77a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--a97b3ea5-4ca1-46a0-a7ad-f10143ce22b2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--ba30893a-400a-43f3-b193-69d65d2a8f40","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--c171fd27-2a8a-42b7-8293-34016b70c1c8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--d44019b6-b8f7-4cb3-837e-7fd3c5724b87","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/relationship--d8b7932d-0ecb-4891-b021-c78ff2b63747","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/sighting--779c4ae8-e134-4180-baa4-03141095d971","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/sighting--8356e820-8080-4692-aa91-ecbe94006833","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/core/Relationship"
"http://example.org/stix-uco/attack-pattern--19da6e1c-71ab-4c2f-886d-d620d09d3b5a-external-reference-CAPEC-148-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/ExternalReference"
"http://example.org/stix-uco/attack-pattern--8ac90ff3-ecf8-4835-95b8-6aea6a623df5-external-reference-CAPEC-98-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/ExternalReference"
"http://example.org/stix-uco/attack-pattern--f6050ea6-a9a3-4524-93ed-c27858d6cb3c-external-reference-CAPEC-488-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/ExternalReference"
"http://example.org/stix-uco/identity--ddfe7140-2ba4-48e4-b19a-df069432103b-external-reference-website-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/ExternalReference"
"http://example.org/stix-uco/attack-pattern--8ac90ff3-ecf8-4835-95b8-6aea6a623df5-kill-chain-phase-mandiant-attack-lifecycle-model-initial-compromise-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/KillChainPhase"
"http://example.org/stix-uco/malware--162d917e-766f-4611-b5d6-652791454fca-kill-chain-phase-mandiant-attack-lifecycle-model-establish-foothold-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/KillChainPhase"
"http://example.org/stix-uco/malware--d1c612bc-146f-4b65-b7b0-9a54a14150a4-kill-chain-phase-mandiant-attack-lifecycle-model-initial-compromise-0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/KillChainPhase"
"http://example.org/stix-uco/marking-definition--d81f86b9-975b-4c0b-875e-810c5ad45a4f-definition","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/MarkingDefinitionDetails"
"http://example.org/stix-uco/marking-definition--f88d31f6-486f-44da-b317-01333bde0b82-definition","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/cti-ext/MarkingDefinitionDetails"
"http://example.org/stix-uco/file--364fe3e5-b1f4-5ba3-b951-ee5983b3538d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/observable/File"
"http://example.org/stix-uco/windows-registry-key--16b80d14-d574-5620-abad-10ff304b1c26","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://ontology.unifiedcyberontology.org/uco/observable/WindowsRegistryKey"
"http://example.org/stix-uco/intrusion-set--ed69450a-f067-4b51-9ba2-c4616b9a6713","http://example.org/cti-ext/alias","Bran-teaser"
"http://example.org/stix-uco/threat-actor--dfaa8d77-07e2-4e28-b2c8-92e9f7b04428","http://example.org/cti-ext/alias","Equipo del Discoteca"
"http://example.org/stix-uco/threat-actor--8b6297fe-cae7-47c6-9256-5584b417849c","http://example.org/cti-ext/alias","Joe Kerr"
"http://example.org/stix-uco/campaign--e5268b6e-4931-42f1-b379-87f48eb41b1e","http://example.org/cti-ext/alias","OBF"
"http://example.org/stix-uco/campaign--1d8897a7-fdc2-4e59-afc9-becbe04df727","http://example.org/cti-ext/alias","ORB"
"http://example.org/stix-uco/threat-actor--8b6297fe-cae7-47c6-9256-5584b417849c","http://example.org/cti-ext/alias","The Clown Prince of Crime"
"http://example.org/stix-uco/indicator--9299f726-ce06-492e-8472-2b52ccb53191","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--39012926-a052-44c4-ae48-caaf4a10ee6e"
"http://example.org/stix-uco/sighting--8356e820-8080-4692-aa91-ecbe94006833","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--5206ba14-478f-4b0b-9a48-395f690c20a2"
"http://example.org/stix-uco/indicator--33fe3b22-0201-47cf-85d0-97c02164528d","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--611d9d41-dba5-4e13-9b29-e22488058ffc"
"http://example.org/stix-uco/malware--ae560258-a5cb-4be8-8f05-013d6712295f","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--7865b6d2-a4af-45c5-b582-afe5ec376c33"
"http://example.org/stix-uco/observed-data--a0d34360-66ad-4977-b255-d9e1080421c4","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c"
"http://example.org/stix-uco/observed-data--cf8eaa41-6f4c-482e-89b9-9cd2d6a83cb1","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c"
"http://example.org/stix-uco/sighting--779c4ae8-e134-4180-baa4-03141095d971","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c"
"http://example.org/stix-uco/indicator--1ed8caa7-a708-4706-b651-f1186ede6ca1","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--b38dfe21-7477-40d1-aa90-5c8671ce51ca"
"http://example.org/stix-uco/threat-actor--8b6297fe-cae7-47c6-9256-5584b417849c","http://example.org/cti-ext/createdBy","http://example.org/stix-uco/identity--b38dfe21-7477-40d1-aa90-5c8671ce51ca"
"http://example.org/stix-uco/marking-definition--d81f86b9-975b-4c0b-875e-810c5ad45a4f","http://example.org/cti-ext/definition","http://example.org/stix-uco/marking-definition--d81f86b9-975b-4c0b-875e-810c5ad45a4f-definition"
"http://example.org/stix-uco/marking-definition--f88d31f6-486f-44da-b317-01333bde0b82","http://example.org/cti-ext/definition","http://example.org/stix-uco/marking-definition--f88d31f6-486f-44da-b317-01333bde0b82-definition"
"http://example.org/stix-uco/marking-definition--d81f86b9-975b-4c0b-875e-810c5ad45a4f","http://example.org/cti-ext/definitionType","statement"
"http://example.org/stix-uco/marking-definition--f88d31f6-486f-44da-b317-01333bde0b82","http://example.org/cti-ext/definitionType","tlp"
"http://example.org/stix-uco/observed-data--a0d34360-66ad-4977-b255-d9e1080421c4","http://example.org/cti-ext/firstObserved",2017-02-27T21:37:11.213Z
"http://example.org/stix-uco/observed-data--cf8eaa41-6f4c-482e-89b9-9cd2d6a83cb1","http://example.org/cti-ext/firstObserved",2017-02-27T21:37:11.213Z
"http://example.org/stix-uco/campaign--e5268b6e-4931-42f1-b379-87f48eb41b1e","http://example.org/cti-ext/firstSeen",2016-01-08T12:50:40.123Z
"http://example.org/stix-uco/intrusion-set--ed69450a-f067-4b51-9ba2-c4616b9a6713","http://example.org/cti-ext/firstSeen",2016-01-08T12:50:40.123Z
"http://example.org/stix-uco/campaign--1d8897a7-fdc2-4e59-afc9-becbe04df727","http://example.org/cti-ext/firstSeen",2016-02-07T19:45:32.126Z
"http://example.org/stix-uco/sighting--8356e820-8080-4692-aa91-ecbe94006833","http://example.org/cti-ext/firstSeen",2017-02-27T21:37:11.213Z
"http://example.org/stix-uco/sighting--779c4ae8-e134-4180-baa4-03141095d971","http://example.org/cti-ext/firstSeen",2017-02-28T19:07:24.856Z
"http://example.org/stix-uco/intrusion-set--ed69450a-f067-4b51-9ba2-c4616b9a6713","http://example.org/cti-ext/goal","Disrupt the BPP"
"http://example.org/stix-uco/intrusion-set--ed69450a-f067-4b51-9ba2-c4616b9a6713","http://example.org/cti-ext/goal","Influence the Branistan election"
"http://example.org/stix-uco/threat-actor--56f3f0db-b5d5-431c-ae56-c18f02caf500","http://example.org/cti-ext/goal","Influence the election in Branistan"
"http://example.org/stix-uco/threat-actor--dfaa8d77-07e2-4e28-b2c8-92e9f7b04428","http://example.org/cti-ext/goal","Steal Credit Card Information"
"http://example.org/stix-uco/indicator--1ed8caa7-a708-4706-b651-f1186ede6ca1","http://example.org/cti-ext/granularMarking","{""marking_ref"": ""marking-definition--34098fce-860f-48ae-8e50-ebd3cc5e41da"", ""selectors"": [""indicator_types.[0]"", ""name"", ""pattern""]}"
"http://example.org/stix-uco/indicator--1ed8caa7-a708-4706-b651-f1186ede6ca1","http://example.org/cti-ext/granularMarking","{""marking_ref"": ""marking-definition--f88d31f6-486f-44da-b317-01333bde0b82"", ""selectors"": [""indicator_types.[1]""]}"
"http://example.org/stix-uco/indicator--1ed8caa7-a708-4706-b651-f1186ede6ca1","http://example.org/cti-ext/granularMarking","{""marking_ref"": ""marking-definition--5e57c739-391a-4eb3-b6be-7d15ca92d5ed"", ""selectors"": [""description""]}"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/attack-pattern--19da6e1c-71ab-4c2f-886d-d620d09d3b5a"
"http://example.org/stix-uco/bundle--0ecd8123-90d5-46e0-9cd4-65d4999b3a2e","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/attack-pattern--8ac90ff3-ecf8-4835-95b8-6aea6a623df5"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/attack-pattern--f6050ea6-a9a3-4524-93ed-c27858d6cb3c"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/campaign--1d8897a7-fdc2-4e59-afc9-becbe04df727"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/campaign--e5268b6e-4931-42f1-b379-87f48eb41b1e"
"http://example.org/stix-uco/bundle--1affa123-0a4f-4fc5-81c6-fc1b058f9e44","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/file--364fe3e5-b1f4-5ba3-b951-ee5983b3538d"
"http://example.org/stix-uco/bundle--0ecd8123-90d5-46e0-9cd4-65d4999b3a2e","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--1621d4d4-b67d-41e3-9670-f01faf20d111"
"http://example.org/stix-uco/bundle--2ac7882f-76a3-4a9b-97b3-811b3af1c7c0","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--39012926-a052-44c4-ae48-caaf4a10ee6e"
"http://example.org/stix-uco/bundle--2ac7882f-76a3-4a9b-97b3-811b3af1c7c0","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--5206ba14-478f-4b0b-9a48-395f690c20a2"
"http://example.org/stix-uco/bundle--dbe491fe-6faf-4125-b019-d8938bc0294d","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--611d9d41-dba5-4e13-9b29-e22488058ffc"
"http://example.org/stix-uco/bundle--601cee35-6b16-4e68-a3e7-9ec7d755b4c3","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--733c5838-34d9-4fbf-949c-62aba761184c"
"http://example.org/stix-uco/bundle--1affa123-0a4f-4fc5-81c6-fc1b058f9e44","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--7865b6d2-a4af-45c5-b582-afe5ec376c33"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--8c6af861-7b20-41ef-9b59-6344fd872a8f"
"http://example.org/stix-uco/bundle--1affa123-0a4f-4fc5-81c6-fc1b058f9e44","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--987eeee1-413a-44ac-96cc-0a8acdcc2f2c"
"http://example.org/stix-uco/bundle--f0af3c36-a642-4cb0-8526-b4ca899cc1db","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--b38dfe21-7477-40d1-aa90-5c8671ce51ca"
"http://example.org/stix-uco/bundle--97b40f76-c1b8-4407-b050-ff177f3d67ed","http://example.org/cti-ext/hasMember","http://example.org/stix-uco/identity--ddfe7140-2ba4-48e4-b19a-df069432103b"
